review_id,user_id,item,date,content
1,5,사과,2024-09-24,가격이 너무 올라요
2,3,양파,2020-12-07,가격이 너무 올라요
3,2,감자,2022-10-04,요즘 품질이 좋아요
4,5,당근,2024-06-13,가격이 너무 올라요
5,3,고구마,2024-09-06,생산량이 많아졌어요
6,5,사과,2024-01-26,가격이 너무 올라요
7,2,배추,2022-01-28,저렴해서 좋아요
8,2,상추,2021-12-28,요즘 품질이 좋아요
9,3,호박,2023-06-08,비 와서 가격이 오르네요
10,5,배추,2021-11-17,비 와서 가격이 오르네요
11,4,오이,2024-09-23,비 와서 가격이 오르네요
12,1,상추,2024-09-13,비 와서 가격이 오르네요
13,4,감자,2021-01-18,생산량이 많아졌어요
14,4,감자,2020-11-03,비 와서 가격이 오르네요
15,3,호박,2025-02-10,생산량이 많아졌어요
16,2,배추,2024-09-12,가격이 너무 올라요
17,5,배추,2020-11-24,저렴해서 좋아요
18,2,당근,2020-09-17,가격이 너무 올라요
19,4,고구마,2025-02-11,저렴해서 좋아요
20,4,호박,2021-12-17,요즘 품질이 좋아요
21,5,양파,2024-03-18,저렴해서 좋아요
22,3,사과,2021-03-19,가격이 너무 올라요
23,3,오이,2020-04-23,가격이 너무 올라요
24,2,토마토,2022-02-07,요즘 품질이 좋아요
25,5,배추,2021-12-22,생산량이 많아졌어요
26,2,토마토,2022-01-27,요즘 품질이 좋아요
27,4,호박,2020-11-20,생산량이 많아졌어요
28,1,양파,2024-11-08,비 와서 가격이 오르네요
29,3,호박,2022-10-27,요즘 품질이 좋아요
30,5,오이,2021-07-14,가격이 너무 올라요
31,3,상추,2022-06-30,생산량이 많아졌어요
32,1,당근,2024-03-12,가격이 너무 올라요
33,1,토마토,2023-03-06,저렴해서 좋아요
34,5,오이,2021-07-12,요즘 품질이 좋아요
35,5,호박,2024-01-11,가격이 너무 올라요
36,1,당근,2023-07-17,생산량이 많아졌어요
37,1,당근,2021-10-21,비 와서 가격이 오르네요
38,3,오이,2022-07-04,비 와서 가격이 오르네요
39,2,사과,2023-09-11,가격이 너무 올라요
40,1,상추,2023-10-04,가격이 너무 올라요
41,4,당근,2020-12-02,비 와서 가격이 오르네요
42,5,호박,2021-04-16,요즘 품질이 좋아요
43,3,고구마,2023-07-14,요즘 품질이 좋아요
44,3,양파,2022-10-28,요즘 품질이 좋아요
45,3,고구마,2022-07-21,생산량이 많아졌어요
46,2,양파,2022-01-28,생산량이 많아졌어요
47,3,감자,2022-08-23,비 와서 가격이 오르네요
48,3,감자,2022-04-13,비 와서 가격이 오르네요
49,1,고구마,2021-08-02,저렴해서 좋아요
50,5,오이,2021-10-12,저렴해서 좋아요
